timestamp,value,date,hour,weekday
2024-12-16 09:00:00+00:00,51.39,2024-12-16,9,0
2024-12-16 10:00:00+00:00,53.22,2024-12-16,10,0
2024-12-16 11:00:00+00:00,52.84,2024-12-16,11,0
2024-12-16 12:00:00+00:00,52.62,2024-12-16,12,0
2024-12-16 13:00:00+00:00,53.63,2024-12-16,13,0
2024-12-16 14:00:00+00:00,52.67,2024-12-16,14,0
2024-12-16 15:00:00+00:00,52.6,2024-12-16,15,0
2024-12-16 16:00:00+00:00,51.47,2024-12-16,16,0
2024-12-16 17:00:00+00:00,51.56,2024-12-16,17,0
2024-12-16 18:00:00+00:00,51.47,2024-12-16,18,0
2024-12-16 19:00:00+00:00,54.45,2024-12-16,19,0
2024-12-16 20:00:00+00:00,55.6,2024-12-16,20,0
2024-12-16 21:00:00+00:00,55.7,2024-12-16,21,0
2024-12-16 22:00:00+00:00,54.85,2024-12-16,22,0
2024-12-16 23:00:00+00:00,54.54,2024-12-16,23,0
2024-12-17 00:00:00+00:00,54.12,2024-12-17,0,1
2024-12-17 01:00:00+00:00,53.58,2024-12-17,1,1
2024-12-17 02:00:00+00:00,52.84,2024-12-17,2,1
2024-12-17 03:00:00+00:00,51.68,2024-12-17,3,1
2024-12-17 04:00:00+00:00,51.24,2024-12-17,4,1
2024-12-17 05:00:00+00:00,50.89,2024-12-17,5,1
2024-12-17 06:00:00+00:00,49.25,2024-12-17,6,1
2024-12-17 07:00:00+00:00,50.32,2024-12-17,7,1
2024-12-17 08:00:00+00:00,54.29,2024-12-17,8,1
2024-12-17 09:00:00+00:00,54.09,2024-12-17,9,1
2024-12-17 10:00:00+00:00,50.69,2024-12-17,10,1
2024-12-17 11:00:00+00:00,51.63,2024-12-17,11,1
2024-12-17 12:00:00+00:00,50.62,2024-12-17,12,1
2024-12-17 13:00:00+00:00,50.54,2024-12-17,13,1
2024-12-17 14:00:00+00:00,51.06,2024-12-17,14,1
2024-12-17 15:00:00+00:00,49.9,2024-12-17,15,1
2024-12-17 16:00:00+00:00,51.75,2024-12-17,16,1
2024-12-17 17:00:00+00:00,51.63,2024-12-17,17,1
